evaluation_role,family,model,target_pct,n,source_files,mae_pp,rmse_pp,bias_pp,median_ae_pp,p95_ae_pp,max_ae_pp,within_4pp,clipped_fraction
REUSED_CONFIRMATION,PGD-PGS,C+P+V,10.0,94,3,10.0,10.0,-10.0,10.0,10.0,10.0,0.0,1.0
REUSED_CONFIRMATION,PGD-PGS,C+P+V,45.0,173,3,4.210229117330158,4.325139258435776,4.210229117330158,4.1971587843714815,5.7273379312601636,6.608604129612296,0.35260115606936415,0.0
REUSED_CONFIRMATION,PGD-PGS,C+P+V,60.0,166,3,7.441437589836993,7.812061907848041,-7.441437589836993,7.942610412322253,10.938162326411359,12.565443593797035,0.10843373493975904,0.0
REUSED_CONFIRMATION,PGD-PGS,C+P+V+route,10.0,94,3,6.767262488469842,6.781196882989232,-6.767262488469842,6.717227117657537,7.565790812678633,7.822649555235033,0.0,0.0
REUSED_CONFIRMATION,PGD-PGS,C+P+V+route,45.0,173,3,2.195849083247597,2.745447980338335,-2.1224598686453486,1.889199423287458,5.182928268361057,7.458756407698303,0.8728323699421965,0.0
REUSED_CONFIRMATION,PGD-PGS,C+P+V+route,60.0,166,3,10.609544496071269,11.031753363732685,10.609544496071269,10.591561502754075,14.712240254909293,20.93271468450594,0.0,0.0
REUSED_CONFIRMATION,PGD-PGS,C+V,10.0,94,3,4.16406720573062,4.262752714012501,4.16406720573062,4.006164053198425,5.707837140470152,6.890739603642995,0.48936170212765956,0.0
REUSED_CONFIRMATION,PGD-PGS,C+V,45.0,173,3,3.9337664360885007,3.9561251316857065,-3.9337664360885007,3.876346310035025,4.887450894032912,5.135183565359853,0.653179190751445,0.0
REUSED_CONFIRMATION,PGD-PGS,C+V,60.0,166,3,13.056873998478776,13.198741556223473,-13.056873998478776,13.280314437605767,16.13609876566737,17.01293683806457,0.0,0.0
REUSED_CONFIRMATION,PGD-PGS,OLS-V,10.0,94,3,4.965920915169975,4.9990832215774565,4.965920915169975,4.983143303015716,5.850685607840241,6.3520045868429165,0.07446808510638298,0.0
REUSED_CONFIRMATION,PGD-PGS,OLS-V,45.0,173,3,11.258283976836246,11.283724383149517,-11.258283976836246,11.127341494384808,12.815065746033154,13.487924094606655,0.0,0.0
REUSED_CONFIRMATION,PGD-PGS,OLS-V,60.0,166,3,10.854066624463616,10.98947758248923,-10.854066624463616,11.140087463743779,13.4566653275175,13.88959163756821,0.0,0.0
REUSED_CONFIRMATION,PGD-PGS,P,10.0,94,3,10.0,10.0,-10.0,10.0,10.0,10.0,0.0,1.0
REUSED_CONFIRMATION,PGD-PGS,P,45.0,173,3,11.67758120864278,11.785928148349912,11.67758120864278,11.514668104337169,14.358196975238291,15.949493848367943,0.0,0.0
REUSED_CONFIRMATION,PGD-PGS,P,60.0,166,3,2.0462021712274336,2.5553908993676204,-0.1108714398267784,1.7342723696416051,5.240798008665159,6.676239893441689,0.8795180722891566,0.0
REUSED_CONFIRMATION,PGD-PGS,Piecewise-V,10.0,94,3,13.575462917725257,13.626316459777284,13.575462917725257,13.745644706932529,15.0,15.0,0.0,0.0
REUSED_CONFIRMATION,PGD-PGS,Piecewise-V,45.0,173,3,7.667159319995187,8.196295392774282,-7.667159319995187,7.166197282423191,13.623122217224303,16.19735544534207,0.057803468208092484,0.0
